"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"6680","ELK","2015-02-16 03:35:00",-99.3943,35.4308,NA,NA,NA,10,16,0,30.1,NA,3,23,"SCT","SCT","OVC",NA,1000,1500,2600,NA,"-VCTSSN",NA,NA,NA,NA,NA,NA,NA,"KELK 160335Z AUTO 01016G23KT 3SM -VCTSSN SCT010 SCT015 OVC026 A3010 RMK AO2 LTG DSNT E AND SE"
"6681","ELK","2015-02-16 03:55:00",-99.3943,35.4308,NA,NA,NA,360,13,0,30.11,NA,3,20,"SCT","SCT","OVC",NA,1000,1300,2600,NA,"-VCTSSN",NA,NA,NA,NA,NA,NA,NA,"KELK 160355Z AUTO 36013G20KT 3SM -VCTSSN SCT010 SCT013 OVC026 A3011 RMK AO2 LTG DSNT NE SW AND NW"
"28718","ELK","2015-12-27 12:15:00",-99.3943,35.4308,27.14,25.16,92.13,360,23,0.03,30.09,NA,2,29,"OVC",NA,NA,NA,1000,NA,NA,NA,"-VCTSSN",NA,NA,NA,NA,NA,NA,11.78,"KELK 271215Z AUTO 36023G29KT 2SM -VCTSSN OVC010 M03/M04 A3009 RMK AO2 LTG DSNT SE P0003 T10271038"
