"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"159659","ELP","2016-07-16 01:55:00",-106.3758,31.8111,NA,NA,NA,50,31,NA,30.02,NA,0.25,NA,"BKN","BKN",NA,NA,100,3000,NA,NA,"-RA +DS",NA,NA,NA,NA,NA,NA,NA,"KELP 160155Z AUTO 05031KT 1/4SM -RA +DS BKN001 BKN030 30/08 A3002 RMK T03000080  LTG DSNT E AND W AND NW!DU BKN001 CB DSNT ALQDS MOV S MTNS OBSCD SW-NW MADISHF"
"159660","ELP","2016-07-16 02:00:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,30.02,NA,0.25,NA,"BKN","BKN",NA,NA,100,3000,NA,NA,"-RA +DS",NA,NA,NA,NA,NA,NA,NA,"KELP 160200Z AUTO /////KT 1/4SM -RA +DS BKN001 BKN030 30/08 A3002 RMK T03000080  LTG DSNT E AND W!DU BKN001 CB DSNT ALQDS MOV S MTNS OBSCD SW-NW MADISHF"
"159661","ELP","2016-07-16 02:01:00",-106.3758,31.8111,87.08,44.96,23.1,50,28,1e-04,30.02,NA,0.5,49,"BKN","BKN",NA,NA,100,3000,NA,NA,"-RA DS",NA,NA,NA,49,40,"2016-07-16 01:52",83.96,"KELP 160201Z 05028G49KT 1/2SM -RA DS BKN001 BKN030 31/07 A3002 RMK AO2 PK WND 04049/0152 DU BKN001 CB DSNT ALQDS MOV S MTNS OBSCD SW-NW P0000 T03060072 $"
"159662","ELP","2016-07-16 02:05:00",-106.3758,31.8111,NA,NA,NA,60,26,NA,30.02,NA,1,NA,"BKN","BKN",NA,NA,100,3500,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 160205Z AUTO 06026KT 1SM BLDU BKN001 BKN035 31/07 A3002 RMK T03100070  LTG DSNT E AND W!DU BKN001 CB DSNT ALQDS MOV S MTNS OBSCD SW-NW MADISHF"
"159663","ELP","2016-07-16 02:10:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,30.01,NA,1,NA,"BKN","BKN","BKN",NA,100,3999,11000,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 160210Z AUTO /////KT 1SM BLDU BKN001 BKN039 BKN110 30/07 A3001 RMK T03000070  LTG DSNT W!DU BKN001 CB DSNT ALQDS MOV S MTNS OBSCD SW-NW MADISHF"
"159664","ELP","2016-07-16 02:11:00",-106.3758,31.8111,86,44.96,23.91,60,23,1e-04,30.01,NA,1,37,"BKN","BKN","BKN",NA,100,4000,11000,NA,"BLDU",NA,NA,NA,49,40,"2016-07-16 01:52",83.1,"KELP 160211Z 06023G37KT 1SM BLDU BKN001 BKN040 BKN110 30/07 A3001 RMK AO2 PK WND 04049/0152 RAE04 DU BKN001 CB DSNT ALQDS MOV S MTNS OBSCD SW-NW P0000 T03000072 $"
"159665","ELP","2016-07-16 02:15:00",-106.3758,31.8111,84.92,46.04,25.79,60,19,1e-04,30.01,NA,4,34,"SCT","BKN","BKN",NA,100,4000,11000,NA,"-RA BLDU",NA,NA,NA,49,40,"2016-07-16 01:52",82.36,"KELP 160215Z 06019G34KT 4SM -RA BLDU SCT001 BKN040 BKN110 29/08 A3001 RMK AO2 PK WND 04049/0152 RAE04B15 DU SCT001 CB DSNT ALQDS MOV S MTNS PTLY OBSCD SW-NW P0000 T02940078 $"
"159684","ELP","2016-07-16 03:32:00",-106.3758,31.8111,89.06,44.06,20.97,230,26,1e-04,29.95,NA,6,37,"SCT","SCT","BKN",NA,100,4000,11000,NA,"-RA BLDU",NA,NA,NA,37,240,"2016-07-16 03:32",85.55,"KELP 160332Z 23026G37KT 6SM -RA BLDU SCT001 SCT040 BKN110 32/07 A2995 RMK AO2 PK WND 24037/0332 TSE0259 PRESFR DU SCT001 OCNL LTGICCG DSNT SE CB DSNT SE AND SW MOV S P0000 T03170067 $"
"159685","ELP","2016-07-16 03:35:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.96,NA,6,NA,"SCT","SCT","BKN",NA,100,3999,11000,NA,"-RA BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 160335Z AUTO /////KT 6SM -RA BLDU SCT001 SCT039 BKN110 32/06 A2996 RMK T03200060  DU SCT001 OCNL LTGICCG DSNT SE CB DSNT SE AND SW MOV S MADISHF"
"159686","ELP","2016-07-16 03:40:00",-106.3758,31.8111,NA,NA,NA,230,24,NA,29.95,NA,7,NA,"FEW","FEW","BKN",NA,100,3999,11000,NA,"-RA BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 160340Z AUTO 23024KT 7SM -RA BLDU FEW001 FEW039 BKN110 33/05 A2995 RMK T03300050  DU FEW001 OCNL LTGICCG DSNT SE CB DSNT SE AND SW MOV S MADISHF"
"159687","ELP","2016-07-16 03:45:00",-106.3758,31.8111,NA,NA,NA,210,17,NA,29.97,NA,7,NA,"FEW","FEW","BKN",NA,100,3999,11000,NA,"-RA BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 160345Z AUTO 21017KT 7SM -RA BLDU FEW001 FEW039 BKN110 33/03 A2997 RMK T03300030  DU FEW001 OCNL LTGICCG DSNT SE CB DSNT SE AND SW MOV S MADISHF"
"159688","ELP","2016-07-16 03:50:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.98,NA,8,NA,"FEW","BKN",NA,NA,3999,11000,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 160350Z AUTO /////KT 8SM VCBLDU FEW039 BKN110 32/05 A2998 RMK T03200050  VCBLDU SW-NW CB DSNT SE-SW MOV S MADISHF"
"159689","ELP","2016-07-16 03:51:00",-106.3758,31.8111,89.06,42.98,20.12,130,12,1e-04,29.98,1006.4,8,33,"FEW","BKN","OVC",NA,4000,11000,20000,NA,"VCBLDU",NA,NA,NA,37,240,"2016-07-16 03:32",85.47,"KELP 160351Z 13012G33KT 100V160 8SM VCBLDU FEW040 BKN110 OVC200 32/06 A2998 RMK AO2 PK WND 24037/0332 RAE47 TSE0259 SLP064 VCBLDU SW-NW CB DSNT SE-SW MOV S P0000 T03170061 $"
"159690","ELP","2016-07-16 03:54:00",-106.3758,31.8111,84.92,48.02,27.79,110,10,0,29.98,NA,10,21,"CLR",NA,NA,NA,NA,NA,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,82.55,"KELP 160354Z 11010G21KT 10SM VCBLDU CLR 29/09 A2998 RMK AO2 WSHFT 0340 T02940089 $"
"164917","ELP","2016-08-01 23:50:00",-106.3758,31.8111,NA,NA,NA,210,18,NA,29.99,NA,7,NA,"SCT",NA,NA,NA,9000,NA,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 012350Z AUTO 21018KT 7SM VCBLDU SCT090 33/14 A2999 RMK T03300140  LTG DSNT ALQDS!CB DSNT ALQDS SHRA DSNT N E S-SW AND NW VCBLDU W-NW MADISHF"
"164918","ELP","2016-08-01 23:51:00",-106.3758,31.8111,89.96,57.02,32.97,220,17,0,29.99,1007.7,7,26,"FEW","SCT","BKN",NA,9000,12000,25000,NA,"VCBLDU",NA,NA,NA,26,190,"2016-08-01 23:41",88.57,"KELP 012351Z 22017G26KT 7SM VCBLDU FEW090 SCT120 BKN250 32/14 A2999 RMK AO2 PK WND 19026/2341 SLP077 CB DSNT ALQDS SHRA DSNT N E S-SW AND NW VCBLDU W-NW T03220139 10356 20306 55007"
"165661","ELP","2016-08-04 09:05:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,30.08,NA,6,NA,"SCT","BKN","OVC",NA,5500,7500,9500,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 040905Z AUTO /////KT 6SM BLDU SCT055 BKN075 OVC095 24/17 A3008 RMK T02400170  BLDU SE-S-SW OCNL LTGIC DSNT S-SW CB DSNT SE-S-SW MOV N MADISHF"
