"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"1236","DDC","2001-02-09 00:44:00",-99.9654,37.7631,21.2,19.4,92.63,10,24,0.03,29.86,NA,1.5,30,"FEW","BKN","OVC",NA,1400,2200,3300,NA,"-TSSN BR",NA,NA,NA,30,20,"2001-02-09 00:43",3.49,"KDDC 090044Z 01024G30KT 1 1/2SM -TSSN BR FEW014 BKN022 OVC033 M06/M07 A2986 RMK AO2 PK WND 02030/0043 TSB38UPE38FZRAB00E01SNB01E15B39 P0003"
"1237","DDC","2001-02-09 00:56:00",-99.9654,37.7631,21.92,19.94,91.94,20,25,0.03,29.83,1012.5,3,28,"SCT","OVC",NA,NA,2200,3300,NA,NA,"-TSSN BR",NA,NA,NA,30,20,"2001-02-09 00:43",4.17,"KDDC 090056Z 02025G28KT 3SM -TSSN BR SCT022 OVC033 M06/M07 A2983 RMK AO2 PK WND 02030/0043 TSB38UPE38FZRAB00E01SNB01E15B39 PRESFR SLP125 P0003 T10561067"
"3339","DDC","2001-04-11 17:56:00",-99.9654,37.7631,59,39.02,47.39,270,32,NA,29.12,984.3,6,43,"FEW","SCT",NA,NA,4400,5000,NA,NA,"BLDU",NA,NA,NA,43,280,"2001-04-11 17:51",59,"KDDC 111756Z 27032G43KT 6SM BLDU FEW044 SCT050 15/04 A2912 RMK AO2 PK WND 28043/1751 SLP843 T01500039 10150 20056 53022"
